iter	MultiClass
249	0.1527628861
250	0.1519552074
251	0.151327555
252	0.1506494857
253	0.1499598666
254	0.1492283809
255	0.1485154339
256	0.1478830003
257	0.1473645612
258	0.146529746
259	0.1460482817
260	0.1453723442
261	0.1446650354
262	0.1441737232
263	0.1435972507
264	0.1428378821
265	0.1421000969
266	0.1412408659
267	0.1404001186
268	0.1398940499
269	0.1392306697
270	0.1384816752
271	0.1376320798
272	0.1370379333
273	0.1363654992
274	0.1355460971
275	0.1350434883
276	0.1345597615
277	0.1338198699
278	0.1332666808
279	0.1326221116
280	0.131977991
281	0.1314492849
282	0.1309123307
283	0.1302256949
284	0.1296408477
285	0.1290230885
286	0.1285014665
287	0.1279564919
288	0.127448477
289	0.1268452578
290	0.1263240485
291	0.1256076141
292	0.1252165242
293	0.1246826843
294	0.124222575
295	0.1236534027
296	0.1231109244
297	0.122701485
298	0.1222800532
299	0.1217239785
300	0.1209009361
301	0.1204260602
302	0.119888854
303	0.1193712032
304	0.1188041349
305	0.1182222398
306	0.1178099583
307	0.1172723858
308	0.1167053439
309	0.1162645271
310	0.115848135
311	0.1153711635
312	0.1149922986
313	0.1145472965
314	0.1140762487
315	0.1134127126
316	0.1129219521
317	0.1124648202
318	0.1119943703
319	0.1114583525
320	0.1110419419
321	0.1107267277
322	0.1103062905
323	0.1098513215
324	0.1094622159
325	0.1089423579
326	0.1085351308
327	0.1080876165
328	0.1075298738
329	0.1070865852
330	0.1067224168
331	0.1062830039
332	0.105824449
333	0.1054610631
334	0.1051921688
335	0.1047866586
336	0.104386821
337	0.1039537637
338	0.1035199019
339	0.1030046763
340	0.1026017311
341	0.1022219423
342	0.1018677111
343	0.1014226167
344	0.1010468639
345	0.1006870441
346	0.100297985
347	0.09989017952
348	0.09950373188
349	0.09902852515
350	0.09869306446
351	0.09825183552
352	0.09789699169
353	0.0975139606
354	0.09726059706
355	0.0970281905
356	0.09672805255
357	0.09637994169
358	0.09605540887
359	0.09580366152
360	0.09545780871
361	0.09511868802
362	0.0946893589
363	0.0943058274
364	0.09396519299
365	0.0936414433
366	0.09332876972
367	0.09294576426
368	0.09267949753
369	0.092371625
370	0.09205834993
371	0.09167794372
372	0.09139601071
373	0.09110994194
374	0.09076555924
375	0.09043632486
376	0.09031608138
377	0.0900580537
378	0.0897274762
379	0.08940556768
380	0.08919247344
381	0.08890789681
382	0.08866454282
383	0.08831211346
384	0.08795675179
385	0.08764001219
386	0.08732849646
387	0.08708841436
388	0.08675178691
389	0.08644080473
390	0.08616774988
391	0.08589722269
392	0.08561830776
393	0.08536563136
394	0.08505051334
395	0.08470116602
396	0.0844434249
397	0.08425908888
398	0.08397964154
399	0.0836790705
400	0.0833965634
401	0.08317779592
402	0.08299861964
403	0.08274432262
404	0.08250208418
405	0.08215450505
406	0.08188671324
407	0.08165831201
408	0.081400881
409	0.08116438458
410	0.08095883379
411	0.08075399634
412	0.08051568447
413	0.08033606982
414	0.07997491933
415	0.07974163962
416	0.07953669486
417	0.07929542173
418	0.0790642683
419	0.07883896768
420	0.07855946125
421	0.07831974794
422	0.07808059232
423	0.0778872541
424	0.07768984886
425	0.07745469556
426	0.07723254414
427	0.07702203056
428	0.07678730556
429	0.07653098445
430	0.07633442402
431	0.07612979765
432	0.07593638676
433	0.07571189455
434	0.07550354211
435	0.07520153133
436	0.07500504125
437	0.07473645067
438	0.07452969172
439	0.07428358474
440	0.07407735329
441	0.07384200376
442	0.07355034538
443	0.07332218213
444	0.07310422879
445	0.0728872057
446	0.07266447063
447	0.07250843602
448	0.07227181134
449	0.07202812266
450	0.07180239399
451	0.07157187084
452	0.07136899683
453	0.07118074931
454	0.07099096122
455	0.07089675356
456	0.07068934782
457	0.07043201171
458	0.07022096868
459	0.07004137605
460	0.06985284621
461	0.06964319104
462	0.06946911745
463	0.06924214887
464	0.06900958062
465	0.06882388132
466	0.06863678654
467	0.06846792054
468	0.06827567605
469	0.06807060378
470	0.06786452469
471	0.06766036197
472	0.06746527227
473	0.06725644704
474	0.06711790239
475	0.06686965212
476	0.06668324804
477	0.06651985096
478	0.06629205913
479	0.06617207683
480	0.06603273849
481	0.06586372835
482	0.06570916805
483	0.06551434496
484	0.06537665322
485	0.06517559815
486	0.06503167854
487	0.06489534899
488	0.06471626622
489	0.06451086512
490	0.06440086162
491	0.06422159351
492	0.06407177139
493	0.06395173871
494	0.06385745101
495	0.06370205028
496	0.06348919678
497	0.06330324762
498	0.06316608236
499	0.06298632834
500	0.06289087063
501	0.06263769651
502	0.06246353791
503	0.06233947761
504	0.06217932051
505	0.06204694587
506	0.06189048063
507	0.06171384036
508	0.06157974007
509	0.06143098839
510	0.06124779673
511	0.06108060645
512	0.060947739
513	0.06082984167
514	0.06061382956
515	0.06044212674
516	0.06027522889
517	0.06009706236
518	0.05993796813
519	0.05981840439
520	0.05965514374
521	0.05953449597
522	0.05934312395
523	0.05918245863
524	0.05902394448
525	0.05889133538
526	0.05873430822
527	0.05863585547
528	0.05848117577
529	0.05838273838
530	0.05823418906
531	0.05812048882
532	0.0579919723
533	0.05786749988
534	0.05773360954
535	0.05758824658
536	0.05750117324
537	0.05738273485
538	0.05723694267
539	0.05707106857
540	0.0569393269
541	0.05681057369
542	0.05669413497
543	0.05657648623
544	0.05639933003
545	0.0562481143
546	0.056167709
547	0.05599642787
548	0.05586303065
549	0.05574124409
550	0.05556426806
551	0.0554534669
552	0.05532520262
553	0.0552256626
554	0.05510781771
555	0.05499967661
556	0.05487207493
557	0.05470755072
558	0.0545919374
559	0.05446772834
560	0.05435073151
561	0.05419663262
562	0.05409018763
563	0.05395196541
564	0.05384561105
565	0.05374814002
566	0.05361833641
567	0.05351291742
568	0.0533612591
569	0.05318698651
570	0.05303438567
571	0.05291374985
572	0.05281952734
573	0.05269128008
574	0.05257748718
575	0.05245459158
576	0.05237538002
577	0.05225421776
578	0.05215589758
579	0.05207022283
580	0.05195714579
581	0.05184557426
582	0.05168268091
583	0.05157251869
584	0.0514019204
585	0.05128423423
586	0.05117208907
587	0.05106010401
588	0.0509618811
589	0.05088416952
590	0.05078669754
591	0.05066338378
592	0.05055797941
593	0.05046880231
594	0.0503613849
595	0.05022830369
596	0.05008708121
597	0.04999550787
598	0.04985947694
599	0.04973176624
600	0.0496288642
601	0.04954166231
602	0.04944435508
603	0.04933532504
604	0.04924237372
605	0.04916635457
606	0.04908097761
607	0.04896946157
608	0.04887448162
609	0.04876762649
610	0.04866003271
611	0.04854060218
612	0.04841051467
613	0.04830077114
614	0.04820144695
615	0.04808464394
616	0.04799725143
617	0.04788927283
618	0.04777963594
619	0.04768417652
620	0.04761365102
621	0.04751259688
622	0.04742898058
623	0.04733086062
624	0.04723619815
625	0.04712101304
626	0.04699742765
627	0.04690637531
628	0.0467989869
629	0.0466921866
630	0.04661204559
631	0.04652032465
632	0.04643179466
633	0.04635300967
634	0.04626895069
635	0.04619809278
636	0.04608392131
637	0.04598821478
638	0.04587976416
639	0.04580711669
640	0.04572043102
641	0.04564498294
642	0.04553719997
643	0.04544679948
644	0.04538064083
645	0.04530233493
646	0.0452286368
647	0.04513252493
648	0.04504504145
649	0.0449728343
650	0.04490217963
651	0.04482840107
652	0.04475695342
653	0.04468762933
654	0.0446123267
655	0.04450196392
656	0.04442117033
657	0.04432322428
658	0.0441911978
659	0.04406126788
660	0.04399024315
661	0.04389868352
662	0.04383793
663	0.04377154502
664	0.04366692641
665	0.04354077351
666	0.04345086325
667	0.04340173911
668	0.04332916197
669	0.04322284523
670	0.04314766236
671	0.04307931905
672	0.04299915764
673	0.04290095638
674	0.04280450223
675	0.04272879943
676	0.04265233336
677	0.04260118845
678	0.04250836519
679	0.04241487797
680	0.0423299733
681	0.04228853247
682	0.04220286476
683	0.04212216971
684	0.04203366643
685	0.04196464216
686	0.04189705861
687	0.04180740931
688	0.041738941
689	0.04165225635
690	0.04154844929
691	0.04147316905
692	0.04140885253
693	0.04132922304
694	0.04126917342
695	0.04117480846
696	0.04110789366
697	0.04104690843
698	0.04095901164
699	0.04089829907
700	0.04083554382
701	0.04076389073
702	0.040687105
703	0.04059910975
704	0.04054045332
705	0.04050673494
706	0.04044215067
707	0.04036742431
708	0.04030206063
709	0.04024329161
710	0.04017312686
711	0.04009723585
712	0.040029569
713	0.03997661218
714	0.03990468429
715	0.03984101013
716	0.03976181894
717	0.03970608755
718	0.03963609093
719	0.03955584495
720	0.03950004986
721	0.03942585521
722	0.03936492904
723	0.03929255963
724	0.03922933067
725	0.03916989735
726	0.03910845283
727	0.03904870133
728	0.03901237089
729	0.03893637279
730	0.03884800774
731	0.03878184239
732	0.03870559328
733	0.0386478902
734	0.03857792353
735	0.03850008497
736	0.03842969229
737	0.03836277829
738	0.03830385777
739	0.0382678491
740	0.03821608199
741	0.03813582766
742	0.03809756989
743	0.03802724671
744	0.03795689216
745	0.03789362899
746	0.03783202532
747	0.03774778537
748	0.0376979951
749	0.03762647807
750	0.03757483065
751	0.03752320168
752	0.03746385142
753	0.0374107242
754	0.03734986827
755	0.03728965568
756	0.03722501636
757	0.03718433356
758	0.03711763656
759	0.03703539157
760	0.03696898816
761	0.0369255419
762	0.03686308682
763	0.03680214515
764	0.03674426457
765	0.03668403164
766	0.03663488148
767	0.03657856755
768	0.03653471568
769	0.03647407431
770	0.0364255814
771	0.03638105262
772	0.03632293853
773	0.03627699649
774	0.03621559572
775	0.03615281811
776	0.03608646448
777	0.03601936457
778	0.03596893939
779	0.03590459583
780	0.03585572507
781	0.035791011
782	0.03573765653
783	0.0356826844
784	0.03563601345
785	0.03559242941
786	0.0355385899
787	0.03547890125
788	0.03543764083
789	0.03539212439
790	0.03533936278
791	0.03528542797
792	0.03522269574
793	0.03516263321
794	0.03510424283
795	0.03504597932
796	0.0350014594
797	0.03490678229
798	0.03485772819
799	0.03480636781
800	0.03474753524
801	0.03468526143
802	0.03463284113
803	0.03459063165
804	0.03454160272
805	0.03449632149
806	0.03445001175
807	0.03440167348
808	0.03434718844
809	0.03429262603
810	0.03424361901
811	0.03418681743
812	0.03413352215
813	0.03408379425
814	0.03404277993
815	0.03398810302
816	0.03393798674
817	0.03388433395
818	0.03383587116
819	0.03378517093
820	0.03372980086
821	0.03367261416
822	0.03361931856
823	0.03357826034
824	0.03353019953
825	0.03347402588
826	0.03343212911
827	0.03337931109
828	0.03334047677
829	0.03329035192
830	0.03324621758
831	0.03321891718
832	0.03317042303
833	0.03312630218
834	0.03305855285
835	0.03300132418
836	0.03294313884
837	0.0328998247
838	0.03284467272
839	0.03278945312
840	0.03274060548
841	0.03269588497
842	0.0326376158
843	0.03259407071
844	0.03255428059
845	0.0325054588
846	0.03246624439
847	0.03241921912
848	0.03236563801
849	0.03232481843
850	0.0322898012
851	0.03224894243
852	0.03220022205
853	0.03215301816
854	0.03210350086
855	0.03206221942
856	0.03201565311
857	0.0319829837
858	0.03194404659
859	0.03189603771
860	0.031854645
861	0.03180644024
862	0.03177418891
863	0.03173479979
864	0.03168853061
865	0.03164608177
866	0.03161079432
867	0.03156980368
868	0.0315392607
869	0.0314728062
870	0.03142885607
871	0.03137917034
872	0.03131422765
873	0.03124944701
874	0.03121652957
875	0.03118383954
876	0.03113374403
877	0.03109867264
878	0.03105454018
879	0.03098332907
880	0.03094301986
881	0.03089564106
882	0.03085274817
883	0.03080191571
884	0.0307546965
885	0.030714227
886	0.0306636332
887	0.03061865521
888	0.03057666075
889	0.03052122665
890	0.03046285342
891	0.03041493854
892	0.03038373643
893	0.03033742509
894	0.03029080778
895	0.0302444018
896	0.03020322837
897	0.03016331657
898	0.03012922971
899	0.03008261776
900	0.03004379804
901	0.03000445695
902	0.02997985789
903	0.02993897657
904	0.02991352738
905	0.02986595309
906	0.02981571508
907	0.0297721006
908	0.02974240299
909	0.02970123842
910	0.02966395494
911	0.02962614354
912	0.02959162259
913	0.02954942774
914	0.02950591249
915	0.02946600434
916	0.02941881314
917	0.02937300352
918	0.0293293894
919	0.02927832059
920	0.02923248991
921	0.02920231969
922	0.02916393729
923	0.02913532575
924	0.02910018259
925	0.02906221574
926	0.02901794583
927	0.02898477993
928	0.02895440367
929	0.02892289534
930	0.02886570057
931	0.02883960698
932	0.02879387992
933	0.02876144779
934	0.02873943476
935	0.02870520728
936	0.02867450868
937	0.02863228126
938	0.02860168424
939	0.02857129548
940	0.02853724364
941	0.02850399779
942	0.02846770751
943	0.02843138648
944	0.02839184689
945	0.02835118463
946	0.02832857552
947	0.02829035856
948	0.02825435602
949	0.0282064676
950	0.02816816938
951	0.0281271765
952	0.02809264926
953	0.02804688329
954	0.02800757572
955	0.02796633278
956	0.02793843215
957	0.02789700818
958	0.02786238816
959	0.02782868385
960	0.02779630186
961	0.02775711549
962	0.02772246802
963	0.02769033395
964	0.02765376495
965	0.02762511513
966	0.02758165777
967	0.02754062633
968	0.02751529793
969	0.02747817132
970	0.0274505527
971	0.0274114846
972	0.02737905636
973	0.0273492756
974	0.02731615697
975	0.02728423177
976	0.0272539134
977	0.02721092411
978	0.02717099373
979	0.02714043184
980	0.02711190161
981	0.02707958381
982	0.02705005727
983	0.0270129659
984	0.02697753649
985	0.02695129011
986	0.02691222724
987	0.02688304084
988	0.02685835558
989	0.02683197106
990	0.02679430947
991	0.02676878625
992	0.02673045412
993	0.02668866511
994	0.02664020109
995	0.0266205834
996	0.02658019665
997	0.02654969315
998	0.02651446621
999	0.0264773738
